Order,Topic_Order,Topic,Subtopic,Problem_Name,Difficulty,LeetCode_URL,YouTube_URL
114,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 1D Arrays","Find peak element",Medium,"https://leetcode.com/problems/find-peak-element/#:~:text=Find%20Peak%20Element%20%2D%20LeetCode&text=A%20peak%20element%20is%20an,to%20any%20of%20the%20peaks.","https://youtu.be/cXxmbemS6XM"
115,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Find square root of a number",Medium,"","https://youtu.be/Bsv3FPUX_BA"
116,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Find Nth root of a number",Medium,"","https://www.youtube.com/watch?v=WjpswYrS2nY&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=62"
117,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Koko eating bananas",Medium,"https://leetcode.com/problems/koko-eating-bananas/","https://youtu.be/qyfekrNni90"
118,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Minimum days to make M bouquets",Medium,"https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/","https://youtu.be/TXAuxeYBTdg"
119,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Find the smallest divisor",Medium,"https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/","https://youtu.be/UvBKTVaG6U8"
120,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Capacity to Ship Packages Within D Days",Medium,"https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/","https://youtu.be/MG-Ac4TAvTY"
121,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Kth Missing Positive Number",Medium,"https://leetcode.com/problems/kth-missing-positive-number/#:~:text=Given%20an%20array%20arr%20of,13%2C...%5D.","https://youtu.be/uZ0N_hZpyps"
122,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Aggressive Cows",Hard,"","https://youtu.be/R_Mfw4ew-Vo"
123,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Book Allocation Problem",Hard,"","https://www.youtube.com/watch?v=gYmWHvRHu-s&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=69"
124,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Split array - largest sum",Hard,"https://leetcode.com/problems/split-array-largest-sum/","https://www.youtube.com/watch?v=thUd_WJn6wk&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=20"
125,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Painter's Partition",Medium,"","https://www.youtube.com/watch?v=thUd_WJn6wk&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=20"
126,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Minimize Max Distance to Gas Station",Hard,"https://leetcode.com/problems/minimize-max-distance-to-gas-station/","https://www.youtube.com/watch?v=kMSBvlZ-_HA&list=PLgUwDviBIf0pMFMWuuvDNMAkoQFi-h0ZF&index=21"
127,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Median of 2 sorted arrays",Hard,"https://leetcode.com/problems/median-of-two-sorted-arrays/","https://www.youtube.com/watch?v=NTop3VTjmxk&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=65"
128,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on Answers","Kth element of 2 sorted arrays",Medium,"","https://youtu.be/D1oDwWCq50g"
129,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Find row with maximum 1's",Easy,"","https://youtu.be/SCz-1TtYxDI"
130,4,"Binary Search [1D, 2D Arrays, Search Space]","BS on 2D Arrays","Search in a 2D matrix",Hard,"https://leetcode.com/problems/search-a-2d-matrix/","https://youtu.be/ZYpYur0znng"
