ID,Problem Name,Topic,Difficulty,LeetCode URL,YouTube URL
110,"Search in rotated sorted array-II","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/search-in-rotated-sorted-array-ii/","https://youtu.be/w2G2W8l__pc"
111,"Find minimum in Rotated Sorted Array","Binary Search [1D, 2D Arrays, Search Space]",Easy,"https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/","https://youtu.be/nhEMDKMB44g"
112,"Find out how many times the array is rotated","Binary Search [1D, 2D Arrays, Search Space]",Easy,"","https://youtu.be/jtSiWTPLwd0"
113,"Single element in a Sorted Array","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/single-element-in-a-sorted-array/","https://youtu.be/AZOmHuHadxQ"
114,"Find peak element","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/find-peak-element/#:~:text=Find%20Peak%20Element%20%2D%20LeetCode&text=A%20peak%20element%20is%20an,to%20any%20of%20the%20peaks.","https://youtu.be/cXxmbemS6XM"
115,"Find square root of a number","Binary Search [1D, 2D Arrays, Search Space]",Medium,"","https://youtu.be/Bsv3FPUX_BA"
116,"Find Nth root of a number","Binary Search [1D, 2D Arrays, Search Space]",Medium,"","https://www.youtube.com/watch?v=WjpswYrS2nY&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=62"
117,"Koko eating bananas","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/koko-eating-bananas/","https://youtu.be/qyfekrNni90"
118,"Minimum days to make M bouquets","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/","https://youtu.be/TXAuxeYBTdg"
119,"Find the smallest divisor","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/","https://youtu.be/UvBKTVaG6U8"
120,"Capacity to Ship Packages Within D Days","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/","https://youtu.be/MG-Ac4TAvTY"
121,"Kth Missing Positive Number","Binary Search [1D, 2D Arrays, Search Space]",Medium,"https://leetcode.com/problems/kth-missing-positive-number/#:~:text=Given%20an%20array%20arr%20of,13%2C...%5D.","https://youtu.be/uZ0N_hZpyps"
122,"Aggressive Cows","Binary Search [1D, 2D Arrays, Search Space]",Hard,"","https://youtu.be/R_Mfw4ew-Vo"
